,f_humidity,f_wind_speed,f_solar_irradiance,f_wind_dir
2022-06-23 22:45:00,80.7808837890625,1.5673021078109741,69.79292297363281,112.5077896118164
2022-06-23 23:00:00,80.57823181152344,1.3383233547210693,63.462825775146484,113.091064453125
2022-06-23 23:15:00,81.72239685058594,1.3999905586242676,63.24026870727539,130.375
2022-06-23 23:30:00,81.96109771728516,1.3355680704116821,66.54674530029297,125.76111602783203
2022-06-23 23:45:00,82.60431671142578,1.4584020376205444,67.21952056884766,126.63194274902344
2022-06-24 00:00:00,81.67314910888672,2.1028146743774414,68.43852996826172,248.00335693359375
2022-06-24 00:15:00,82.05284881591797,2.075113296508789,66.33727264404297,224.58665466308594
2022-06-24 00:30:00,81.88217163085938,2.019798517227173,71.09062194824219,210.0350799560547
2022-06-24 00:45:00,82.4238510131836,2.050687551498413,64.93545532226562,214.603271484375
2022-06-24 01:00:00,82.51065063476562,2.063925266265869,65.27960968017578,211.59349060058594
2022-06-24 01:15:00,82.51121520996094,2.1556825637817383,63.36016082763672,220.1173095703125
2022-06-24 01:30:00,83.20571899414062,2.222385883331299,55.36280059814453,220.01023864746094
2022-06-24 01:45:00,83.1276626586914,2.2961225509643555,42.585384368896484,230.55404663085938
2022-06-24 02:00:00,83.80498504638672,2.3486061096191406,43.899574279785156,225.2149200439453
2022-06-24 02:15:00,83.91877746582031,2.416715383529663,49.49043655395508,215.3017120361328
2022-06-24 02:30:00,84.50242614746094,2.5114922523498535,44.4902229309082,233.10911560058594
2022-06-24 02:45:00,85.07880401611328,2.4915153980255127,45.222557067871094,234.8257598876953
2022-06-24 03:00:00,85.17495727539062,2.475522994995117,41.58610534667969,250.2489471435547
2022-06-24 03:15:00,85.4333724975586,2.433608293533325,38.243499755859375,251.4031219482422
2022-06-24 03:30:00,85.77104187011719,2.35321307182312,32.08369445800781,242.85818481445312
2022-06-24 03:45:00,85.20170593261719,2.2314095497131348,37.746761322021484,238.38587951660156
2022-06-24 04:00:00,86.3693618774414,2.137759208679199,41.187801361083984,229.66506958007812
2022-06-24 04:15:00,84.17572784423828,2.0283360481262207,25.208438873291016,230.0193328857422
2022-06-24 04:30:00,81.45270538330078,1.9455691576004028,11.171429634094238,232.4198760986328
2022-06-24 04:45:00,79.66372680664062,1.9345263242721558,1.3763936758041382,230.7767791748047
2022-06-24 05:00:00,77.57186126708984,1.9008699655532837,0.0,229.4279327392578
2022-06-24 05:15:00,77.99079895019531,2.1010937690734863,0.0,220.36936950683594
2022-06-24 05:30:00,78.357666015625,2.1404364109039307,0.0,221.94827270507812
2022-06-24 05:45:00,78.74237060546875,2.23142671585083,0.0,226.95919799804688
2022-06-24 06:00:00,79.30368041992188,2.2257087230682373,0.0,223.55563354492188
2022-06-24 06:15:00,79.82785034179688,2.3178985118865967,0.0,227.84188842773438
2022-06-24 06:30:00,80.64628601074219,2.3711097240448,5.172886848449707,217.25868225097656
2022-06-24 06:45:00,81.05794525146484,2.510471820831299,26.34828758239746,209.0691375732422
2022-06-24 07:00:00,81.25704956054688,2.6400365829467773,42.026180267333984,205.9225311279297
2022-06-24 07:15:00,80.89579010009766,2.9403035640716553,77.89925384521484,192.70799255371094
2022-06-24 07:30:00,80.72248840332031,3.186953544616699,109.21641540527344,171.19915771484375
2022-06-24 07:45:00,80.22005462646484,3.4120171070098877,157.85910034179688,154.0341033935547
2022-06-24 08:00:00,80.58642578125,3.69462251663208,192.0423583984375,135.96531677246094
2022-06-24 08:15:00,79.6336669921875,3.9632818698883057,240.43246459960938,116.32498931884766
2022-06-24 08:30:00,78.7479248046875,4.270447731018066,303.8774719238281,101.43395233154297
2022-06-24 08:45:00,78.89376068115234,4.3910040855407715,367.3877258300781,79.4156494140625
2022-06-24 09:00:00,77.93486022949219,4.630577564239502,432.4725646972656,68.48258972167969
2022-06-24 09:15:00,78.1452407836914,4.876979827880859,492.3406982421875,51.2097053527832
2022-06-24 09:30:00,77.33917236328125,5.174231052398682,544.4827270507812,43.51597595214844
2022-06-24 09:45:00,77.37188720703125,5.4756903648376465,586.2534790039062,39.70615005493164
2022-06-24 10:00:00,76.84468078613281,5.637469291687012,650.367919921875,25.269508361816406
2022-06-24 10:15:00,73.32225036621094,5.663969993591309,667.2208862304688,19.64295768737793
2022-06-24 10:30:00,71.01277160644531,5.701868534088135,674.57275390625,17.45917510986328
2022-06-24 10:45:00,68.39016723632812,5.744179725646973,673.1627807617188,13.835606575012207
2022-06-24 11:00:00,65.15304565429688,5.896688938140869,705.36474609375,14.002318382263184
2022-06-24 11:15:00,65.46817779541016,5.938766956329346,752.095703125,21.019615173339844
2022-06-24 11:30:00,66.1084976196289,5.962167739868164,807.8587646484375,9.372952461242676
2022-06-24 11:45:00,66.0940170288086,5.953362464904785,0.0,12.423173904418945
2022-06-24 12:00:00,66.42417907714844,6.072801113128662,0.0,8.057552337646484
2022-06-24 12:15:00,67.54917907714844,6.168196201324463,0.0,7.538262367248535
2022-06-24 12:30:00,67.00713348388672,6.1830525398254395,0.0,20.066082000732422
2022-06-24 12:45:00,68.58470153808594,6.265770435333252,0.0,21.833223342895508
2022-06-24 13:00:00,68.74266052246094,6.37842321395874,0.0,16.702110290527344
2022-06-24 13:15:00,69.09638977050781,6.340333461761475,0.0,19.362972259521484
2022-06-24 13:30:00,69.905029296875,6.37106466293335,0.0,15.121901512145996
2022-06-24 13:45:00,70.15657806396484,6.371914863586426,0.0,25.48509407043457
2022-06-24 14:00:00,70.22936248779297,6.462457656860352,0.0,26.769044876098633
2022-06-24 14:15:00,70.94408416748047,6.379974365234375,0.0,27.17493438720703
2022-06-24 14:30:00,71.14630126953125,6.38770866394043,0.0,24.749107360839844
2022-06-24 14:45:00,71.5078353881836,6.383526802062988,0.0,18.021631240844727
2022-06-24 15:00:00,71.52722930908203,6.3538126945495605,0.0,15.842779159545898
2022-06-24 15:15:00,71.76355743408203,6.347463607788086,0.0,16.885093688964844
2022-06-24 15:30:00,72.58511352539062,6.372371196746826,0.0,23.00470733642578
2022-06-24 15:45:00,72.65731811523438,6.367358684539795,0.0,22.441701889038086
2022-06-24 16:00:00,73.28739166259766,6.348936080932617,0.0,23.936805725097656
2022-06-24 16:15:00,73.65882873535156,6.217302322387695,0.0,34.25974655151367
2022-06-24 16:30:00,74.3175277709961,6.138947010040283,0.0,38.709800720214844
2022-06-24 16:45:00,75.54512023925781,6.096127986907959,0.0,45.30453109741211
2022-06-24 17:00:00,76.30583953857422,5.995114803314209,0.0,47.27677536010742
2022-06-24 17:15:00,77.28919982910156,5.789896011352539,0.0,48.96225357055664
2022-06-24 17:30:00,78.6076431274414,5.637240409851074,0.0,45.41277313232422
2022-06-24 17:45:00,79.68038940429688,5.5504865646362305,0.0,37.719810485839844
2022-06-24 18:00:00,80.90412902832031,5.471258640289307,0.0,50.956390380859375
2022-06-24 18:15:00,82.7918701171875,5.360762596130371,0.0,46.76280212402344
2022-06-24 18:30:00,83.39598083496094,5.181530475616455,0.0,53.63103485107422
2022-06-24 18:45:00,84.7557144165039,5.03513240814209,0.0,53.86515426635742
2022-06-24 19:00:00,85.78855895996094,4.83709192276001,0.0,61.75178527832031
2022-06-24 19:15:00,86.29479217529297,4.5350189208984375,0.0,68.86962127685547
2022-06-24 19:30:00,87.0652847290039,4.240023612976074,0.0,63.54066848754883
2022-06-24 19:45:00,87.47344207763672,3.924976348876953,0.0,75.96515655517578
2022-06-24 20:00:00,87.7385482788086,3.6627941131591797,0.0,77.62981414794922
2022-06-24 20:15:00,87.99901580810547,3.555455207824707,0.0,79.19625091552734
2022-06-24 20:30:00,87.2253189086914,3.3985042572021484,0.0,97.43439483642578
2022-06-24 20:45:00,86.78852081298828,3.3215138912200928,0.0,100.29944610595703
